0,1,2,3,4,,Total
0.366026737,0.439836261,0.478621559,0.467867224,0.222693404,,1.975045186
0.494860823,0.602003681,0.494860823,0.602003681,0.345694157,,2.539423165
0.766853153,0.87399601,0.925623565,0.877181918,0.48101982,,3.924674466
0.753754417,0.858461194,0.769824148,0.858461194,0.467985004,,3.708485958
0.910626246,1.005933523,0.925333406,1.005933523,0.559623999,,4.407450697
0.896702945,1.000131583,0.893094303,1.000131583,0.652155392,,4.442215805
1.165831371,1.305749924,1.137639639,1.244782496,0.794306306,,5.648309736
1.035716351,1.464630361,0.984666557,1.091809415,0.746333224,,5.323155908
1.010575461,1.714434241,1.010575461,1.12769522,0.836408794,,5.699689178
0.99552117,1.734078843,0.99552117,1.187395014,0.839687837,,5.752204034
1.014006695,1.829206691,1.014006695,1.295372249,0.923173362,,6.075765692
0.858366535,1.490973362,0.858366535,1.158835295,0.813366535,,5.179908261
0.683332997,0.790475855,0.683332997,0.790475855,0.683332997,,3.630950702
0.501525871,0.608668729,0.501525871,0.608668729,0.501525871,,2.721915072
0.380296078,0.487438936,0.380296078,0.487438936,0.380296078,,2.115766107
0.284617081,0.425093272,0.284617081,0.425093272,0.284617081,,1.704037788
0.192189455,0.332665646,0.192189455,0.332665646,0.192189455,,1.241899658
0.19413336,0.334609551,0.19413336,0.334609551,0.19413336,,1.251619183
0.232424135,0.339566993,0.232424135,0.339566993,0.232424135,,1.376406392
