Time,
6/11/2016 12:00,5.367403831
6/11/2016 13:00,6.580761463
6/11/2016 14:00,6.286011414
6/11/2016 15:00,6.638678237
6/11/2016 16:00,6.740378728
6/11/2016 17:00,7.066223264
6/11/2016 18:00,6.148263427
6/11/2016 19:00,4.648802804
6/11/2016 20:00,3.637660286
6/11/2016 21:00,3.088064425
6/11/2016 22:00,2.616151152
6/11/2016 23:00,2.142598634
6/12/2016 0:00,2.181476732
6/12/2016 1:00,2.255625565
6/12/2016 2:00,0.890010958
6/12/2016 3:00,0.918028092
6/12/2016 4:00,0.882124653
6/12/2016 5:00,0.837816075
6/12/2016 6:00,1.215239955
6/12/2016 7:00,1.863476896
6/12/2016 8:00,2.745250526
6/12/2016 9:00,4.183548055
6/12/2016 10:00,4.228713729
6/12/2016 11:00,4.738479493
6/12/2016 12:00,5.337099724
6/12/2016 13:00,5.984047817
6/12/2016 14:00,5.738126491
6/12/2016 15:00,6.231368066
6/12/2016 16:00,5.845646594
6/12/2016 17:00,5.402083561
6/12/2016 18:00,5.249442009
6/12/2016 19:00,4.449984919
6/12/2016 20:00,3.864969866
6/12/2016 21:00,3.194705938
6/12/2016 22:00,3.138405058
6/12/2016 23:00,2.597749774
6/13/2016 0:00,2.336957989
6/13/2016 1:00,2.281636533
6/13/2016 2:00,2.058084015
6/13/2016 3:00,2.008829202
6/13/2016 4:00,1.776677154
6/13/2016 5:00,1.822473062
6/13/2016 6:00,2.880975323
6/13/2016 7:00,3.635425575
6/13/2016 8:00,4.618153972
6/13/2016 9:00,5.081987733
6/13/2016 10:00,4.900247684
6/13/2016 11:00,5.028255407
6/13/2016 12:00,5.772826512
6/13/2016 13:00,6.428908515
6/13/2016 14:00,6.293312036
6/13/2016 15:00,4.279531715
6/13/2016 16:00,1.902879881
6/13/2016 17:00,2.01388233
6/13/2016 18:00,1.603151126
6/13/2016 19:00,1.113006591
6/13/2016 20:00,0.945007554
6/13/2016 21:00,0.932970563
6/13/2016 22:00,1.003117166
6/13/2016 23:00,0.943035978
6/14/2016 0:00,0.954242832
6/14/2016 1:00,0.899765071
6/14/2016 2:00,0.93234796
6/14/2016 3:00,0.889284588
6/14/2016 4:00,0.890529794
6/14/2016 5:00,0.935460975
6/14/2016 6:00,0.925291793
6/14/2016 7:00,1.006437715
6/14/2016 8:00,0.966694891
6/14/2016 9:00,1.136042901
6/14/2016 10:00,1.191973402
6/14/2016 11:00,1.277628687
6/14/2016 12:00,3.324208895
6/14/2016 13:00,4.597038321
6/14/2016 14:00,5.157529141
6/14/2016 15:00,5.370809864
6/14/2016 16:00,4.784302408
6/14/2016 17:00,4.786492808
6/14/2016 18:00,4.804675416
6/14/2016 19:00,4.260477716
6/14/2016 20:00,2.329071271
6/14/2016 21:00,1.754848001
6/14/2016 22:00,1.246387242
6/14/2016 23:00,0.890628066
6/15/2016 0:00,0.883698021
6/15/2016 1:00,0.908209868
6/15/2016 2:00,1.091780533
6/15/2016 3:00,1.096564665
6/15/2016 4:00,1.264165504
6/15/2016 5:00,1.005413782
6/15/2016 6:00,1.012319603
6/15/2016 7:00,1.738907236
6/15/2016 8:00,2.114868985
