Time,Avearge kW/sqm
6/20/2016 5:00,0.004689238
6/20/2016 6:00,0.004868755
6/20/2016 7:00,0.005384478
6/20/2016 8:00,0.005957792
6/20/2016 9:00,0.006003449
6/20/2016 10:00,0.006145091
6/20/2016 11:00,0.006673785
6/20/2016 12:00,0.006267537
6/20/2016 13:00,0.006548227
6/20/2016 14:00,0.006992869
6/20/2016 15:00,0.00684552
6/20/2016 16:00,0.00646677
6/20/2016 17:00,0.006058965
6/20/2016 18:00,0.005785019
6/20/2016 19:00,0.005720165
6/20/2016 20:00,0.005090817
6/20/2016 21:00,0.005047754
6/20/2016 22:00,0.004950731
6/20/2016 23:00,0.004768101
6/21/2016 0:00,0.004671079
6/21/2016 1:00,0.004650844
6/21/2016 2:00,0.004592216
6/21/2016 3:00,0.004549152
6/21/2016 4:00,0.004540851
6/21/2016 5:00,0.004713623
6/21/2016 6:00,0.005120909
6/21/2016 7:00,0.005104826
6/21/2016 8:00,0.005299908
6/21/2016 9:00,0.005651679
6/21/2016 10:00,0.005956754
6/21/2016 11:00,0.006065191
6/21/2016 12:00,0.00665355
6/21/2016 13:00,0.006313194
6/21/2016 14:00,0.006264424
6/21/2016 15:00,0.006185042
6/21/2016 16:00,0.006143535
6/21/2016 17:00,0.005916285
6/21/2016 18:00,0.005631444
6/21/2016 19:00,0.0052501
6/21/2016 20:00,0.004885358
6/21/2016 21:00,0.004703247
6/21/2016 22:00,0.004986531
6/21/2016 23:00,0.004739046
6/22/2016 0:00,0.004691832
6/22/2016 1:00,0.004557454
6/22/2016 2:00,0.004518022
6/22/2016 3:00,0.00456368
6/22/2016 4:00,0.004591697
6/22/2016 5:00,0.004557973
6/22/2016 6:00,0.005001577
6/22/2016 7:00,0.00488017
6/22/2016 8:00,0.005308209
6/22/2016 9:00,0.005514706
6/22/2016 10:00,0.005962461
6/22/2016 11:00,0.006440309
6/22/2016 12:00,0.006218247
6/22/2016 13:00,0.0058561
6/22/2016 14:00,0.00605222
6/22/2016 15:00,0.006359889
6/22/2016 16:00,0.005866995
6/22/2016 17:00,0.005867514
6/22/2016 18:00,0.005680733
6/22/2016 19:00,0.005402637
6/22/2016 20:00,0.005129211
6/22/2016 21:00,0.004940355
6/22/2016 22:00,0.004731264
6/22/2016 23:00,0.004633723
6/23/2016 0:00,0.004601036
6/23/2016 1:00,0.004587546
6/23/2016 2:00,0.004634242
6/23/2016 3:00,0.004584952
6/23/2016 4:00,0.004586509
6/23/2016 5:00,0.004700652
6/23/2016 6:00,0.004855266
6/23/2016 7:00,0.004992757
6/23/2016 8:00,0.005134918
6/23/2016 9:00,0.005537535
6/23/2016 10:00,0.006005525
6/23/2016 11:00,0.006020571
6/23/2016 12:00,0.006010713
6/23/2016 13:00,0.005702006
6/23/2016 14:00,0.005827564
6/23/2016 15:00,0.005750257
6/23/2016 16:00,0.005659461
6/23/2016 17:00,0.005499141
6/23/2016 18:00,0.005634038
6/23/2016 19:00,0.005394336
6/23/2016 20:00,0.00501351
6/23/2016 21:00,0.005160341
6/23/2016 22:00,0.004959033
6/23/2016 23:00,0.004812202
6/24/2016 0:00,0.004823617
6/24/2016 1:00,0.00465292
6/24/2016 2:00,0.004691313
6/24/2016 3:00,0.004620752
6/24/2016 4:00,0.004682493
6/24/2016 5:00,0.004676786
6/24/2016 6:00,0.004946581
6/24/2016 7:00,0.004819985
6/24/2016 8:00,0.005000193
6/24/2016 9:00,0.005546874
6/24/2016 10:00,0.006160656
6/24/2016 11:00,0.006077643
6/24/2016 12:00,0.006251453
6/24/2016 13:00,0.006035098
6/24/2016 14:00,0.005907983
6/24/2016 15:00,0.00597647
6/24/2016 16:00,0.005626774
6/24/2016 17:00,0.005430136
6/24/2016 18:00,0.005359055
6/24/2016 19:00,0.005143738
6/24/2016 20:00,0.004759281
6/24/2016 21:00,0.004655514
6/24/2016 22:00,0.004674711
6/24/2016 23:00,0.004488449
6/25/2016 0:00,0.004577688
6/25/2016 1:00,0.004538776
6/25/2016 2:00,0.004408029
6/25/2016 3:00,0.004473921
6/25/2016 4:00,0.004383644
6/25/2016 5:00,0.004439678
6/25/2016 6:00,0.004221248
6/25/2016 7:00,0.004294923
6/25/2016 8:00,0.004383125
6/25/2016 9:00,0.004432933
6/25/2016 10:00,0.004560567
6/25/2016 11:00,0.004597404
6/25/2016 12:00,0.004614007
6/25/2016 13:00,0.004556416
6/25/2016 14:00,0.004789892
6/25/2016 15:00,0.004872906
6/25/2016 16:00,0.00485786
6/25/2016 17:00,0.004876019
6/25/2016 18:00,0.004758243
6/25/2016 19:00,0.004857341
6/25/2016 20:00,0.00483088
6/25/2016 21:00,0.004770176
6/25/2016 22:00,0.004673673
6/25/2016 23:00,0.004718812
6/26/2016 0:00,0.004591178
6/26/2016 1:00,0.004510759
6/26/2016 2:00,0.004491043
6/26/2016 3:00,0.00442982
6/26/2016 4:00,0.004457318
6/26/2016 5:00,0.004431896
6/26/2016 6:00,0.004322421
6/26/2016 7:00,0.004305818
6/26/2016 8:00,0.004277801
6/26/2016 9:00,0.004333836
6/26/2016 10:00,0.004396615
6/26/2016 11:00,0.004695464
6/26/2016 12:00,0.004634242
6/26/2016 13:00,0.004645137
6/26/2016 14:00,0.004761356
6/26/2016 15:00,0.004853709
6/26/2016 16:00,0.004984456
6/26/2016 17:00,0.00482206
6/26/2016 18:00,0.00496007
6/26/2016 19:00,0.005010397
6/26/2016 20:00,0.00497356
6/26/2016 21:00,0.004860973
6/26/2016 22:00,0.004790411
6/26/2016 23:00,0.004707397
6/27/2016 0:00,0.004649288
6/27/2016 1:00,0.004503495
6/27/2016 2:00,0.004436046
6/27/2016 3:00,0.004571462
6/27/2016 4:00,0.00452788
6/27/2016 5:00,0.004676267
6/27/2016 6:00,0.004752017
6/27/2016 7:00,0.004882245
6/27/2016 8:00,0.005347641
6/27/2016 9:00,0.005328444
6/27/2016 10:00,0.005696298
6/27/2016 11:00,0.006243151
6/27/2016 12:00,0.005943264
6/27/2016 13:00,0.006281026
6/27/2016 14:00,0.006585583
6/27/2016 15:00,0.006516578
6/27/2016 16:00,0.006282064
6/27/2016 17:00,0.006221879
6/27/2016 18:00,0.005739362
6/27/2016 19:00,0.005635595
6/27/2016 20:00,0.005097043
6/27/2016 21:00,0.004994314
6/27/2016 22:00,0.004858379
6/27/2016 23:00,0.005002615
6/28/2016 0:00,0.004819985
6/28/2016 1:00,0.00466174
6/28/2016 2:00,0.004734896
6/28/2016 3:00,0.004671079
6/28/2016 4:00,0.004593772
6/28/2016 5:00,0.00479093
6/28/2016 6:00,0.005182651
6/28/2016 7:00,0.005194584
6/28/2016 8:00,0.005549987
6/28/2016 9:00,0.005926143
6/28/2016 10:00,0.006400359
6/28/2016 11:00,0.006485967
6/28/2016 12:00,0.00641748
6/28/2016 13:00,0.00651554
6/28/2016 14:00,0.006330835
6/28/2016 15:00,0.006276357
6/28/2016 16:00,0.006055333
6/28/2016 17:00,0.005834309
6/28/2016 18:00,0.00577153
6/28/2016 19:00,0.005698893
6/28/2016 20:00,0.005008841
6/28/2016 21:00,0.005020255
6/28/2016 22:00,0.004926346
6/28/2016 23:00,0.00485786
6/29/2016 0:00,0.004812202
6/29/2016 1:00,0.004731783
6/29/2016 2:00,0.004726594
6/29/2016 3:00,0.004810646
6/29/2016 4:00,0.004639949
6/29/2016 5:00,0.004644618
6/29/2016 6:00,0.005099637
6/29/2016 7:00,0.005140625
6/29/2016 8:00,0.005810961
6/29/2016 9:00,0.006006043
6/29/2016 10:00,0.006499975
6/29/2016 11:00,0.006646806
6/29/2016 12:00,0.006753686
6/29/2016 13:00,0.006726706
6/29/2016 14:00,0.006709585
6/29/2016 15:00,0.006949287
6/29/2016 16:00,0.006564311
6/29/2016 17:00,0.00639984
6/29/2016 18:00,0.006036136
6/29/2016 19:00,0.005749739
6/29/2016 20:00,0.004968891
6/29/2016 21:00,0.004825173
6/29/2016 22:00,0.004945543
6/29/2016 23:00,0.004744235
6/30/2016 0:00,0.004659664
6/30/2016 1:00,0.004452649
6/30/2016 2:00,0.004642024
6/30/2016 3:00,0.004550709
6/30/2016 4:00,0.004711029
6/30/2016 5:00,0.004957476
6/30/2016 6:00,0.005164492
6/30/2016 7:00,0.005087185
6/30/2016 8:00,0.005469048
6/30/2016 9:00,0.005986328
6/30/2016 10:00,0.006367153
