Time,
6/14/2016 12:00,5.991020678
6/14/2016 13:00,8.02490486
6/14/2016 14:00,8.437635616
6/14/2016 15:00,8.699532773
6/14/2016 16:00,8.043635918
6/14/2016 17:00,7.98603568
6/14/2016 18:00,7.778144228
6/14/2016 19:00,7.328838138
6/14/2016 20:00,5.096991166
6/14/2016 21:00,4.631937872
6/14/2016 22:00,4.026849723
6/14/2016 23:00,3.513141074
6/15/2016 0:00,3.503179426
6/15/2016 1:00,3.543856154
6/15/2016 2:00,3.625390008
6/15/2016 3:00,3.719891995
6/15/2016 4:00,4.060442299
6/15/2016 5:00,3.878401488
6/15/2016 6:00,3.940246717
6/15/2016 7:00,4.381071522
6/15/2016 8:00,4.97962672
6/15/2016 9:00,5.104379897
6/15/2016 10:00,5.253886192
6/15/2016 11:00,6.573636644
6/15/2016 12:00,6.625890873
6/15/2016 13:00,7.477610807
6/15/2016 14:00,8.111538549
6/15/2016 15:00,7.608286594
6/15/2016 16:00,5.979183357
6/15/2016 17:00,5.647993269
6/15/2016 18:00,5.506634275
6/15/2016 19:00,4.916864368
6/15/2016 20:00,4.051391074
6/15/2016 21:00,3.765917883
6/15/2016 22:00,3.653849347
6/15/2016 23:00,3.633510983
6/16/2016 0:00,3.522272584
6/16/2016 1:00,3.721505537
6/16/2016 2:00,3.55132739
6/16/2016 3:00,3.409788979
6/16/2016 4:00,3.735617871
6/16/2016 5:00,3.565854792
6/16/2016 6:00,3.775049393
6/16/2016 7:00,4.092576912
6/16/2016 8:00,4.703541438
6/16/2016 9:00,5.604311365
6/16/2016 10:00,6.256744704
6/16/2016 11:00,7.239180698
6/16/2016 12:00,7.652496624
6/16/2016 13:00,8.834941946
6/16/2016 14:00,8.691064414
6/16/2016 15:00,8.185423874
6/16/2016 16:00,8.91622657
6/16/2016 17:00,8.874552133
6/16/2016 18:00,8.49317641
6/16/2016 19:00,6.811677458
6/16/2016 20:00,5.304878301
6/16/2016 21:00,4.590534775
6/16/2016 22:00,3.780010887
6/16/2016 23:00,3.830253524
6/17/2016 0:00,3.726486361
6/17/2016 1:00,3.783350766
6/17/2016 2:00,3.656754827
6/17/2016 3:00,3.590758912
6/17/2016 4:00,3.66215072
6/17/2016 5:00,3.820706945
6/17/2016 6:00,4.173100231
6/17/2016 7:00,4.141139945
6/17/2016 8:00,5.03204839
6/17/2016 9:00,6.024743658
6/17/2016 10:00,6.563954359
6/17/2016 11:00,7.210114664
6/17/2016 12:00,7.727012964
6/17/2016 13:00,9.016858623
6/17/2016 14:00,9.024825088
6/17/2016 15:00,9.496216136
6/17/2016 16:00,9.032754221
6/17/2016 17:00,8.759857611
6/17/2016 18:00,8.25512996
6/17/2016 19:00,6.484375071
6/17/2016 20:00,5.414280022
6/17/2016 21:00,4.618001942
6/17/2016 22:00,3.781275423
6/17/2016 23:00,3.555063007
6/18/2016 0:00,3.826102837
6/18/2016 1:00,3.567930136
6/18/2016 2:00,3.472879414
6/18/2016 3:00,3.699506898
6/18/2016 4:00,3.578306852
6/18/2016 5:00,3.730221979
6/18/2016 6:00,3.636416463
6/18/2016 7:00,3.445484883
6/18/2016 8:00,4.176262395
6/18/2016 9:00,5.115004162
6/18/2016 10:00,5.621381928
6/18/2016 11:00,6.809239159
6/18/2016 12:00,8.041076753
6/18/2016 13:00,8.059196073
6/18/2016 14:00,8.211593738
6/18/2016 15:00,8.284285721
6/18/2016 16:00,8.672814901
6/18/2016 17:00,8.395939252
6/18/2016 18:00,8.100984864
6/18/2016 19:00,6.431489101
6/18/2016 20:00,5.502600406
6/18/2016 21:00,3.684149358
6/18/2016 22:00,3.571250685
6/18/2016 23:00,3.627284953
6/19/2016 0:00,3.616493168
6/19/2016 1:00,3.594494529
6/19/2016 2:00,3.588683568
6/19/2016 3:00,3.560873969
6/19/2016 4:00,3.615247962
6/19/2016 5:00,3.576231509
6/19/2016 6:00,3.589098637
6/19/2016 7:00,3.521857515
6/19/2016 8:00,4.193464395
6/19/2016 9:00,5.188580531
6/19/2016 10:00,6.00328733
6/19/2016 11:00,6.984091334
6/19/2016 12:00,7.769889654
6/19/2016 13:00,8.312652609
6/19/2016 14:00,8.586666141
6/19/2016 15:00,8.925349769
6/19/2016 16:00,9.010876342
6/19/2016 17:00,9.054575286
6/19/2016 18:00,8.457898194
6/19/2016 19:00,6.983077984
6/19/2016 20:00,5.78588476
6/19/2016 21:00,4.066025564
6/19/2016 22:00,3.964393725
6/19/2016 23:00,3.888363135
6/20/2016 0:00,3.70199731
6/20/2016 1:00,3.666716475
6/20/2016 2:00,3.684564427
6/20/2016 3:00,3.629775365
6/20/2016 4:00,3.805349405
6/20/2016 5:00,3.75139048
6/20/2016 6:00,3.895004234
6/20/2016 7:00,4.307582474
6/20/2016 8:00,5.601201052
6/20/2016 9:00,6.995987885
6/20/2016 10:00,7.911719308
6/20/2016 11:00,9.704010162
6/20/2016 12:00,9.574139549
6/20/2016 13:00,10.5537128
6/20/2016 14:00,11.05653934
6/20/2016 15:00,11.10545167
6/20/2016 16:00,10.69607799
