Time,Average kW/sqm
6/11/2016 0:00,0.018404144
6/11/2016 1:00,0.018576398
6/11/2016 2:00,0.01822774
6/11/2016 3:00,0.017852103
6/11/2016 4:00,0.017789842
6/11/2016 5:00,0.018217363
6/11/2016 6:00,0.017879082
6/11/2016 7:00,0.017165164
6/11/2016 8:00,0.01656539
6/11/2016 9:00,0.017163089
6/11/2016 10:00,0.018252644
6/11/2016 11:00,0.018244343
6/11/2016 12:00,0.018503761
6/11/2016 13:00,0.018649035
6/11/2016 14:00,0.01925711
6/11/2016 15:00,0.018779781
6/11/2016 16:00,0.019763494
6/11/2016 17:00,0.019809151
6/11/2016 18:00,0.019367103
6/11/2016 19:00,0.020357042
6/11/2016 20:00,0.018314904
6/11/2016 21:00,0.019445966
6/11/2016 22:00,0.018242267
6/11/2016 23:00,0.01801398
6/12/2016 0:00,0.018597151
6/12/2016 1:00,0.017584383
6/12/2016 2:00,0.017800219
6/12/2016 3:00,0.018360562
6/12/2016 4:00,0.017642493
6/12/2016 5:00,0.016756321
6/12/2016 6:00,0.017441185
6/12/2016 7:00,0.016814431
6/12/2016 8:00,0.016577842
6/12/2016 9:00,0.017300061
6/12/2016 10:00,0.019080706
6/12/2016 11:00,0.019452192
6/12/2016 12:00,0.01804926
6/12/2016 13:00,0.018466404
6/12/2016 14:00,0.018121897
6/12/2016 15:00,0.019020521
6/12/2016 16:00,0.018584699
6/12/2016 17:00,0.017856253
6/12/2016 18:00,0.01786663
6/12/2016 19:00,0.017374774
6/12/2016 20:00,0.017974548
6/12/2016 21:00,0.017920589
6/12/2016 22:00,0.019201076
6/12/2016 23:00,0.017966247
6/13/2016 0:00,0.01780437
6/13/2016 1:00,0.017974548
6/13/2016 2:00,0.01774626
6/13/2016 3:00,0.017007438
6/13/2016 4:00,0.017275157
6/13/2016 5:00,0.017962096
6/13/2016 6:00,0.019072405
6/13/2016 7:00,0.019151268
6/13/2016 8:00,0.019935747
6/13/2016 9:00,0.021992413
6/13/2016 10:00,0.022494646
6/13/2016 11:00,0.024142468
6/13/2016 12:00,0.024266989
6/13/2016 13:00,0.023750228
6/13/2016 14:00,0.024260763
6/13/2016 15:00,0.023862297
6/13/2016 16:00,0.02306744
6/13/2016 17:00,0.022824625
6/13/2016 18:00,0.020927761
6/13/2016 19:00,0.022260132
6/13/2016 20:00,0.018900151
6/13/2016 21:00,0.018659411
6/13/2016 22:00,0.020062343
6/13/2016 23:00,0.01886072
6/14/2016 0:00,0.019084857
6/14/2016 1:00,0.017995301
6/14/2016 2:00,0.018646959
6/14/2016 3:00,0.017785692
6/14/2016 4:00,0.017810596
6/14/2016 5:00,0.01870922
6/14/2016 6:00,0.018505836
6/14/2016 7:00,0.020128754
6/14/2016 8:00,0.019333898
6/14/2016 9:00,0.022720858
6/14/2016 10:00,0.023839468
6/14/2016 11:00,0.023567598
6/14/2016 12:00,0.023519865
6/14/2016 13:00,0.024026249
6/14/2016 14:00,0.023785509
6/14/2016 15:00,0.023870598
6/14/2016 16:00,0.022739536
6/14/2016 17:00,0.022322392
6/14/2016 18:00,0.020745131
6/14/2016 19:00,0.021407166
6/14/2016 20:00,0.019311069
6/14/2016 21:00,0.02007272
6/14/2016 22:00,0.018945809
6/14/2016 23:00,0.017565705
6/15/2016 0:00,0.017515897
6/15/2016 1:00,0.017719281
6/15/2016 2:00,0.017758712
6/15/2016 3:00,0.017825123
6/15/2016 4:00,0.019001843
6/15/2016 5:00,0.019392007
6/15/2016 6:00,0.019701234
6/15/2016 7:00,0.018906377
6/15/2016 8:00,0.019462569
6/15/2016 9:00,0.020541748
6/15/2016 10:00,0.022698029
6/15/2016 11:00,0.024210954
6/15/2016 12:00,0.023540619
6/15/2016 13:00,0.024071906
6/15/2016 14:00,0.023963989
6/15/2016 15:00,0.023754379
6/15/2016 16:00,0.022953296
6/15/2016 17:00,0.021006624
6/15/2016 18:00,0.020788713
6/15/2016 19:00,0.021091714
6/15/2016 20:00,0.019964802
6/15/2016 21:00,0.018829589
6/15/2016 22:00,0.018269247
6/15/2016 23:00,0.018167555
6/16/2016 0:00,0.017611363
6/16/2016 1:00,0.018607528
6/16/2016 2:00,0.017756637
6/16/2016 3:00,0.017048945
6/16/2016 4:00,0.018678089
6/16/2016 5:00,0.017829274
6/16/2016 6:00,0.018875247
6/16/2016 7:00,0.020462885
6/16/2016 8:00,0.021706015
6/16/2016 9:00,0.022307865
6/16/2016 10:00,0.023079892
6/16/2016 11:00,0.023544769
6/16/2016 12:00,0.023822865
6/16/2016 13:00,0.02503279
6/16/2016 14:00,0.024682057
6/16/2016 15:00,0.023422324
6/16/2016 16:00,0.023009331
6/16/2016 17:00,0.022432385
6/16/2016 18:00,0.022538228
6/16/2016 19:00,0.022301639
6/16/2016 20:00,0.020301008
6/16/2016 21:00,0.019875562
6/16/2016 22:00,0.018634507
6/16/2016 23:00,0.019151268
6/17/2016 0:00,0.018632432
6/17/2016 1:00,0.018916754
6/17/2016 2:00,0.018283774
6/17/2016 3:00,0.017953795
6/17/2016 4:00,0.018310754
6/17/2016 5:00,0.019103535
6/17/2016 6:00,0.020865501
6/17/2016 7:00,0.0207057
6/17/2016 8:00,0.021322077
6/17/2016 9:00,0.021880344
6/17/2016 10:00,0.022592187
6/17/2016 11:00,0.023656838
6/17/2016 12:00,0.023129701
6/17/2016 13:00,0.023326858
6/17/2016 14:00,0.02394116
6/17/2016 15:00,0.024621872
6/17/2016 16:00,0.022413707
6/17/2016 17:00,0.021745447
6/17/2016 18:00,0.0223722
6/17/2016 19:00,0.020743056
6/17/2016 20:00,0.019829905
6/17/2016 21:00,0.019014295
6/17/2016 22:00,0.018906377
6/17/2016 23:00,0.017775315
6/18/2016 0:00,0.019130514
6/18/2016 1:00,0.017839651
6/18/2016 2:00,0.017364397
6/18/2016 3:00,0.018497534
6/18/2016 4:00,0.017891534
6/18/2016 5:00,0.01865111
6/18/2016 6:00,0.018182082
6/18/2016 7:00,0.017227424
6/18/2016 8:00,0.017096678
6/18/2016 9:00,0.018298302
6/18/2016 10:00,0.017827199
6/18/2016 11:00,0.017926815
6/18/2016 12:00,0.018765254
6/18/2016 13:00,0.018626206
6/18/2016 14:00,0.018514137
6/18/2016 15:00,0.018412445
6/18/2016 16:00,0.019545583
6/18/2016 17:00,0.019242583
6/18/2016 18:00,0.019223905
6/18/2016 19:00,0.018308678
6/18/2016 20:00,0.018067938
6/18/2016 21:00,0.018420747
6/18/2016 22:00,0.017856253
6/18/2016 23:00,0.018136425
6/19/2016 0:00,0.018082466
6/19/2016 1:00,0.017972473
6/19/2016 2:00,0.017943418
6/19/2016 3:00,0.01780437
6/19/2016 4:00,0.01807624
6/19/2016 5:00,0.017881158
6/19/2016 6:00,0.017945493
6/19/2016 7:00,0.017609288
6/19/2016 8:00,0.017663247
6/19/2016 9:00,0.017791918
6/19/2016 10:00,0.01819661
6/19/2016 11:00,0.01847263
6/19/2016 12:00,0.018476781
6/19/2016 13:00,0.018976939
6/19/2016 14:00,0.018902226
6/19/2016 15:00,0.018871096
6/19/2016 16:00,0.019589165
6/19/2016 17:00,0.019323521
6/19/2016 18:00,0.019645199
6/19/2016 19:00,0.019744816
6/19/2016 20:00,0.019416912
6/19/2016 21:00,0.019464644
6/19/2016 22:00,0.019541432
6/19/2016 23:00,0.019441816
6/20/2016 0:00,0.018509987
6/20/2016 1:00,0.018333582
6/20/2016 2:00,0.018422822
6/20/2016 3:00,0.018148877
6/20/2016 4:00,0.019026747
6/20/2016 5:00,0.018756952
6/20/2016 6:00,0.019475021
6/20/2016 7:00,0.021537912
6/20/2016 8:00,0.023831167
6/20/2016 9:00,0.024013797
6/20/2016 10:00,0.024580366
6/20/2016 11:00,0.02669514
6/20/2016 12:00,0.025070147
6/20/2016 13:00,0.026192907
6/20/2016 14:00,0.027971476
6/20/2016 15:00,0.027382079
6/20/2016 16:00,0.025867078
6/20/2016 17:00,0.024235859
6/20/2016 18:00,0.023140077
6/20/2016 19:00,0.022880659
6/20/2016 20:00,0.020363268
6/20/2016 21:00,0.020191015
6/20/2016 22:00,0.019802925
6/20/2016 23:00,0.019072405
6/21/2016 0:00,0.018684315
6/21/2016 1:00,0.018603377
6/21/2016 2:00,0.018368863
6/21/2016 3:00,0.01819661
6/21/2016 4:00,0.018163404
6/21/2016 5:00,0.018854494
6/21/2016 6:00,0.020483638
6/21/2016 7:00,0.020419302
6/21/2016 8:00,0.021199631
6/21/2016 9:00,0.022606714
6/21/2016 10:00,0.023827016
6/21/2016 11:00,0.024260763
6/21/2016 12:00,0.026614202
6/21/2016 13:00,0.025252777
6/21/2016 14:00,0.025057695
6/21/2016 15:00,0.024740167
6/21/2016 16:00,0.02457414
6/21/2016 17:00,0.023665139
6/21/2016 18:00,0.022525776
6/21/2016 19:00,0.021000398
6/21/2016 20:00,0.019541432
6/21/2016 21:00,0.018812987
6/21/2016 22:00,0.019946124
6/21/2016 23:00,0.018956185
6/22/2016 0:00,0.018767329
6/22/2016 1:00,0.018229815
6/22/2016 2:00,0.018072089
6/22/2016 3:00,0.018254719
6/22/2016 4:00,0.018366788
6/22/2016 5:00,0.018231891
6/22/2016 6:00,0.020006309
6/22/2016 7:00,0.019520679
6/22/2016 8:00,0.021232837
6/22/2016 9:00,0.022058824
6/22/2016 10:00,0.023849845
6/22/2016 11:00,0.025761236
6/22/2016 12:00,0.024872989
6/22/2016 13:00,0.023424399
6/22/2016 14:00,0.024208879
6/22/2016 15:00,0.025439558
6/22/2016 16:00,0.023467982
6/22/2016 17:00,0.023470057
6/22/2016 18:00,0.022722933
6/22/2016 19:00,0.021610549
6/22/2016 20:00,0.020516843
6/22/2016 21:00,0.019761419
6/22/2016 22:00,0.018925055
6/22/2016 23:00,0.018534891
6/23/2016 0:00,0.018404144
6/23/2016 1:00,0.018350185
6/23/2016 2:00,0.018536966
6/23/2016 3:00,0.018339808
6/23/2016 4:00,0.018346034
6/23/2016 5:00,0.01880261
6/23/2016 6:00,0.019421062
6/23/2016 7:00,0.019971028
6/23/2016 8:00,0.020539672
6/23/2016 9:00,0.022150139
6/23/2016 10:00,0.024022098
6/23/2016 11:00,0.024082283
6/23/2016 12:00,0.024042852
6/23/2016 13:00,0.022808022
6/23/2016 14:00,0.023310256
6/23/2016 15:00,0.023001029
6/23/2016 16:00,0.022637844
6/23/2016 17:00,0.021996563
6/23/2016 18:00,0.022536152
6/23/2016 19:00,0.021577344
6/23/2016 20:00,0.020054042
6/23/2016 21:00,0.020641364
6/23/2016 22:00,0.019836131
6/23/2016 23:00,0.019248809
6/24/2016 0:00,0.019294466
6/24/2016 1:00,0.018611678
6/24/2016 2:00,0.018765254
6/24/2016 3:00,0.018483007
6/24/2016 4:00,0.018729973
6/24/2016 5:00,0.018707144
6/24/2016 6:00,0.019786323
6/24/2016 7:00,0.019279939
6/24/2016 8:00,0.020000772
6/24/2016 9:00,0.022187495
6/24/2016 10:00,0.024642626
6/24/2016 11:00,0.024310571
6/24/2016 12:00,0.025005811
6/24/2016 13:00,0.024140393
6/24/2016 14:00,0.023631934
6/24/2016 15:00,0.023905879
6/24/2016 16:00,0.022507098
6/24/2016 17:00,0.021720543
6/24/2016 18:00,0.021436221
6/24/2016 19:00,0.020574953
6/24/2016 20:00,0.019037124
6/24/2016 21:00,0.018622055
6/24/2016 22:00,0.018698843
6/24/2016 23:00,0.017953795
6/25/2016 0:00,0.018310754
6/25/2016 1:00,0.018155103
6/25/2016 2:00,0.017632116
6/25/2016 3:00,0.017895685
6/25/2016 4:00,0.017534575
6/25/2016 5:00,0.017758712
6/25/2016 6:00,0.016884993
6/25/2016 7:00,0.017179692
6/25/2016 8:00,0.0175325
6/25/2016 9:00,0.017731733
6/25/2016 10:00,0.018242267
6/25/2016 11:00,0.018389617
6/25/2016 12:00,0.018456028
6/25/2016 13:00,0.018225665
6/25/2016 14:00,0.019159569
6/25/2016 15:00,0.019491624
6/25/2016 16:00,0.019431439
6/25/2016 17:00,0.019504076
6/25/2016 18:00,0.019032973
6/25/2016 19:00,0.019429364
6/25/2016 20:00,0.019323521
6/25/2016 21:00,0.019080706
6/25/2016 22:00,0.018694692
6/25/2016 23:00,0.018875247
